name|code|DdxNum|DdxPer|DdzNum|DdzPer|TddzNum|TddzPer|TotalNum|TotalPer|DayNum
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002522"><span class="fore-stock-name">浙江众成</span><span class="fore-stock-spell displaynone">002522ZJZC</span></a>|<span class="fore-stock-code">sz002522</span>|12|0.6|9|0.45|12|0.6|36|0.6|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002104"><span class="fore-stock-name">恒宝股份</span><span class="fore-stock-spell displaynone">002104HBGF</span></a>|<span class="fore-stock-code">sz002104</span>|12|0.6|9|0.45|13|0.65|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000963"><span class="fore-stock-name">华东医药</span><span class="fore-stock-spell displaynone">000963HDYY</span></a>|<span class="fore-stock-code">sz000963</span>|14|0.7|9|0.45|13|0.65|40|0.6667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600400"><span class="fore-stock-name">红豆股份</span><span class="fore-stock-spell displaynone">600400HDGF</span></a>|<span class="fore-stock-code">sh600400</span>|12|0.6|9|0.45|14|0.7|40|0.6667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000040"><span class="fore-stock-name">宝安地产</span><span class="fore-stock-spell displaynone">000040BADC</span></a>|<span class="fore-stock-code">sz000040</span>|14|0.7|9|0.45|14|0.7|42|0.7001|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600566"><span class="fore-stock-name">济川药业</span><span class="fore-stock-spell displaynone">600566JCYY</span></a>|<span class="fore-stock-code">sh600566</span>|16|0.8|9|0.45|14|0.7|44|0.7334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000597"><span class="fore-stock-name">东北制药</span><span class="fore-stock-spell displaynone">000597DBZY</span></a>|<span class="fore-stock-code">sz000597</span>|12|0.6|9|0.45|15|0.75|42|0.7001|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600328"><span class="fore-stock-name">兰太实业</span><span class="fore-stock-spell displaynone">600328LTSY</span></a>|<span class="fore-stock-code">sh600328</span>|14|0.7|9|0.45|15|0.75|44|0.7334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002588"><span class="fore-stock-name">史丹利</span><span class="fore-stock-spell displaynone">002588SDL</span></a>|<span class="fore-stock-code">sz002588</span>|15|0.75|9|0.45|15|0.75|45|0.75|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600265"><span class="fore-stock-name">ST景谷</span><span class="fore-stock-spell displaynone">600265STJG</span></a>|<span class="fore-stock-code">sh600265</span>|8|0.5334|7|0.4667|8|0.5334|24|0.5334|15
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300292"><span class="fore-stock-name">吴通通讯</span><span class="fore-stock-spell displaynone">300292WTTX</span></a>|<span class="fore-stock-code">sz300292</span>|10|0.6667|7|0.4667|8|0.5334|26|0.5778|15
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002247"><span class="fore-stock-name">帝龙新材</span><span class="fore-stock-spell displaynone">002247DLXC</span></a>|<span class="fore-stock-code">sz002247</span>|13|0.65|10|0.5|10|0.5|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002355"><span class="fore-stock-name">兴民钢圈</span><span class="fore-stock-spell displaynone">002355XMGQ</span></a>|<span class="fore-stock-code">sz002355</span>|14|0.7|10|0.5|10|0.5|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh601222"><span class="fore-stock-name">林洋电子</span><span class="fore-stock-spell displaynone">601222LYDZ</span></a>|<span class="fore-stock-code">sh601222</span>|10|0.5|10|0.5|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002028"><span class="fore-stock-name">思源电气</span><span class="fore-stock-spell displaynone">002028SYDQ</span></a>|<span class="fore-stock-code">sz002028</span>|10|0.5|10|0.5|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002618"><span class="fore-stock-name">丹邦科技</span><span class="fore-stock-spell displaynone">002618DBKJ</span></a>|<span class="fore-stock-code">sz002618</span>|11|0.55|10|0.5|11|0.55|33|0.55|20
