code|name|spell
sh600601|方正科技|600601FZKJ
sh600602|云赛智联|600602YSZL
sh600603|广汇物流|600603GHWL
sh600604|市北高新|600604SBGX
sh600605|汇通能源|600605HTNY
sh600606|金丰投资|600606JFTZ
sh600608|*ST沪科|600608STHK
sh600609|金杯汽车|600609JBQC
sh600610|中毅达|600610ZYD
sh600611|大众交通|600611DZJT
sh600612|老凤祥|600612LFX
sh600613|神奇制药|600613SQZY
sh600614|鹏起科技|600614PQKJ
sh600615|丰华股份|600615FHGF
sh600616|金枫酒业|600616JFJY
sh600617|国新能源|600617GXNY
sh600618|氯碱化工|600618LJHG
sh600619|海立股份|600619HLGF
sh600620|天宸股份|600620TCGF
sh600621|华鑫股份|600621HXGF
sh600622|嘉宝集团|600622JBJT
sh600623|华谊集团|600623HYJT
sh600624|复旦复华|600624FDFH
sh600626|申达股份|600626SDGF
sh600628|新世界|600628XSJ
sh600629|华建集团|600629HJJT
sh600630|龙头股份|600630LTGF
sh600633|浙数文化|600633ZSWH
sh600634|富控互动|600634FKHD
sh600635|大众公用|600635DZGY
sh600636|三爱富|600636SAF
sh600637|东方明珠|600637DFMZ
sh600638|新黄浦|600638XHP
sh600639|浦东金桥|600639PDJQ
sh600640|号百控股|600640HBKG
sh600641|万业企业|600641WYQY
sh600642|申能股份|600642SNGF
sh600643|爱建股份|600643AJGF
sh600644|乐山电力|600644LSDL
sh600645|中源协和|600645ZYXH
sh600647|同达创业|600647TDCY
sh600648|外高桥|600648WGQ
sh600649|城投控股|600649CTKG
sh600650|锦江投资|600650JJTZ
sh600651|飞乐音响|600651FLYX
sh600652|游久游戏|600652YJYX
sh600653|申华控股|600653SHKG
sh600654|中安消|600654ZAX
sh600655|豫园商城|600655YYSC
sh600657|信达地产|600657XDDC
sh600658|电子城|600658DZC
sh600660|福耀玻璃|600660FYBL
sh600661|新南洋|600661XNY
sh600662|强生控股|600662QSKG
sh600663|陆家嘴|600663LJZ
sh600664|哈药股份|600664HYGF
sh600665|天地源|600665TDY
sh600666|奥瑞德|600666ARD
sh600667|太极实业|600667TJSY
sh600668|尖峰集团|600668JFJT
sh600671|天目药业|600671TMYY
sh600673|东阳光科|600673DYGK
sh600674|川投能源|600674CTNY
sh600675|中华企业|600675ZHQY
sh600676|交运股份|600676JYGF
sh600677|航天通信|600677HTTX
sh600678|四川金顶|600678SCJD
sh600679|上海凤凰|600679SHFH
sh600680|上海普天|600680SHPT
sh600681|百川能源|600681BCNY
sh600682|南京新百|600682NJXB
sh600683|京投发展|600683JTFZ
sh600684|珠江实业|600684ZJSY
sh600685|中船防务|600685ZCFW
sh600686|金龙汽车|600686JLQC
sh600687|刚泰控股|600687GTKG
sh600688|上海石化|600688SHSH
sh600689|上海三毛|600689SHSM
sh600690|青岛海尔|600690QDHE
sh600691|阳煤化工|600691YMHG
sh600692|亚通股份|600692YTGF
sh600693|东百集团|600693DBJT
sh600694|大商股份|600694DSGF
sh600695|绿庭投资|600695LTTZ
sh600696|匹凸匹|600696PTP
sh600697|欧亚集团|600697OYJT
sh600698|湖南天雁|600698HNTY
sh600699|均胜电子|600699JSDZ
sh600701|工大高新|600701GDGX
sh600702|沱牌舍得|600702TPSD
sh600703|三安光电|600703SAGD
sh600704|物产中大|600704WCZD
sh600705|中航资本|600705ZHZB
sh600706|曲江文旅|600706QJWL
sh600707|彩虹股份|600707CHGF
sh600708|光明地产|600708GMDC
sh600710|ST常林|600710STCL
sh600711|盛屯矿业|600711STKY
sh600712|南宁百货|600712NNBH
sh600713|南京医药|600713NJYY
sh600714|金瑞矿业|600714JRKY
sh600715|文投控股|600715WTKG
sh600716|凤凰股份|600716FHGF
sh600717|天津港|600717TJG
sh600718|东软集团|600718DRJT
sh600719|大连热电|600719DLRD
sh600720|祁连山|600720QLS
sh600721|百花村|600721BHC
sh600722|金牛化工|600722JNHG
sh600723|首商股份|600723SSGF
sh600724|宁波富达|600724NBFD
sh600725|云维股份|600725YWGF
sh600726|华电能源|600726HDNY
sh600727|鲁北化工|600727LBHG
sh600728|佳都科技|600728JDKJ
sh600729|重庆百货|600729ZQBH
sh600730|中国高科|600730ZGGK
sh600731|湖南海利|600731HNHL
sh600732|ST新梅|600732STXM
sh600733|S前锋|600733SQF
sh600734|实达集团|600734SDJT
sh600735|新华锦|600735XHJ
sh600736|苏州高新|600736SZGX
sh600737|中粮糖业|600737ZLTY
sh600738|兰州民百|600738LZMB
sh600739|辽宁成大|600739LNCD
sh600740|山西焦化|600740SXJH
sh600741|华域汽车|600741HYQC
sh600742|一汽富维|600742YQFW
sh600743|华远地产|600743HYDC
sh600744|华银电力|600744HYDL
sh600745|闻泰科技|600745WTKJ
sh600746|江苏索普|600746JSSP
sh600747|大连控股|600747DLKG
sh600748|上实发展|600748SSFZ
sh600749|西藏旅游|600749XCLY
sh600750|江中药业|600750JZYY
sh600751|天海投资|600751THTZ
sh600753|东方银星|600753DFYX
sh600754|锦江股份|600754JJGF
sh600755|厦门国贸|600755XMGM
sh600756|浪潮软件|600756LCRJ
sh600757|长江传媒|600757CJCM
