name|code|MaxRange|DayNum|message_score_max|message_score_min|message_score_dis|basic_score_max|basic_score_min|total_score_max|total_score_min
<a target="_blank" href="/Chart.php?code=sz300206"><span class="fore-stock-name">理邦仪器</span><span class="fore-stock-spell displaynone">300206LBYQ</span></a>|<span class="fore-stock-code">sz300206</span>|0.27|6|6.9|6.9|0|5.2|5.2|5.9|5.9
<a target="_blank" href="/Chart.php?code=sh603703"><span class="fore-stock-name">盛洋科技</span><span class="fore-stock-spell displaynone">603703SYKJ</span></a>|<span class="fore-stock-code">sh603703</span>|0.27|6|5.5|5.5|0|5|5|5.8|5.8
<a target="_blank" href="/Chart.php?code=sz002290"><span class="fore-stock-name">禾盛新材</span><span class="fore-stock-spell displaynone">002290HSXC</span></a>|<span class="fore-stock-code">sz002290</span>|0.27|6|7.4|7.4|0|5.3|5.3|6.3|6.3
<a target="_blank" href="/Chart.php?code=sh600343"><span class="fore-stock-name">航天动力</span><span class="fore-stock-spell displaynone">600343HTDL</span></a>|<span class="fore-stock-code">sh600343</span>|0.27|6|5.5|5.5|0|5.6|5.6|6.6|6.6
<a target="_blank" href="/Chart.php?code=sh601038"><span class="fore-stock-name">一拖股份</span><span class="fore-stock-spell displaynone">601038YTGF</span></a>|<span class="fore-stock-code">sh601038</span>|0.26|6|5.6|5.6|0|6|6|6.3|6.3
<a target="_blank" href="/Chart.php?code=sh600760"><span class="fore-stock-name">中航黑豹</span><span class="fore-stock-spell displaynone">600760ZHHB</span></a>|<span class="fore-stock-code">sh600760</span>|0.26|6|5.1|5.1|0|5.1|5.1|6|6
<a target="_blank" href="/Chart.php?code=sh601996"><span class="fore-stock-name">丰林集团</span><span class="fore-stock-spell displaynone">601996FLJT</span></a>|<span class="fore-stock-code">sh601996</span>|0.26|6|5.5|5.5|0|4|4|5.5|5.5
<a target="_blank" href="/Chart.php?code=sh600290"><span class="fore-stock-name">华仪电气</span><span class="fore-stock-spell displaynone">600290HYDQ</span></a>|<span class="fore-stock-code">sh600290</span>|0.26|6|5.6|5.6|0|6.6|6.6|6.9|6.9
<a target="_blank" href="/Chart.php?code=sh600775"><span class="fore-stock-name">南京熊猫</span><span class="fore-stock-spell displaynone">600775NJXM</span></a>|<span class="fore-stock-code">sh600775</span>|0.26|6|5.5|5.5|0|5|5|5.8|5.8
<a target="_blank" href="/Chart.php?code=sz002308"><span class="fore-stock-name">威创股份</span><span class="fore-stock-spell displaynone">002308WCGF</span></a>|<span class="fore-stock-code">sz002308</span>|0.26|6|5.6|5.6|0|4.7|4.7|6|6
<a target="_blank" href="/Chart.php?code=sz000687"><span class="fore-stock-name">恒天天鹅</span><span class="fore-stock-spell displaynone">000687HTTE</span></a>|<span class="fore-stock-code">sz000687</span>|0.26|6|6.1|6.1|0|4.8|4.8|6|6
<a target="_blank" href="/Chart.php?code=sh600235"><span class="fore-stock-name">民丰特纸</span><span class="fore-stock-spell displaynone">600235MFTZ</span></a>|<span class="fore-stock-code">sh600235</span>|0.26|6|3.6|3.6|0|6.3|6.3|5.9|5.9
<a target="_blank" href="/Chart.php?code=sz000078"><span class="fore-stock-name">海王生物</span><span class="fore-stock-spell displaynone">000078HWSW</span></a>|<span class="fore-stock-code">sz000078</span>|0.26|6|7|7|0|6.4|6.4|6.2|6.2
<a target="_blank" href="/Chart.php?code=sz000514"><span class="fore-stock-name">渝开发</span><span class="fore-stock-spell displaynone">000514YKF</span></a>|<span class="fore-stock-code">sz000514</span>|0.26|6|3.2|3.2|0|3.9|3.9|6.3|6.3
<a target="_blank" href="/Chart.php?code=sz002610"><span class="fore-stock-name">爱康科技</span><span class="fore-stock-spell displaynone">002610AKKJ</span></a>|<span class="fore-stock-code">sz002610</span>|0.26|6|5.9|5.9|0|7.4|7.4|6.3|6.3
<a target="_blank" href="/Chart.php?code=sh603309"><span class="fore-stock-name">维力医疗</span><span class="fore-stock-spell displaynone">603309WLYL</span></a>|<span class="fore-stock-code">sh603309</span>|0.26|6|6.1|6.1|0|4.4|4.4|6|6
<a target="_blank" href="/Chart.php?code=sz300331"><span class="fore-stock-name">苏大维格</span><span class="fore-stock-spell displaynone">300331SDWG</span></a>|<span class="fore-stock-code">sz300331</span>|0.26|6|4|4|0|5.5|5.5|5.5|5.5
<a target="_blank" href="/Chart.php?code=sz002519"><span class="fore-stock-name">银河电子</span><span class="fore-stock-spell displaynone">002519YHDZ</span></a>|<span class="fore-stock-code">sz002519</span>|0.26|6|8.3|8.3|0|6|6|7.2|7.2
