code|name
sz002177|御银股份
sz000009|中国宝安
sz002390|信邦制药
sz002394|联发股份
sz002299|圣农发展
sz000089|深圳机场
sz002172|澳洋科技
sh600874|创业环保
sh601799|星宇股份
sz002220|天宝股份
sz002273|水晶光电
sz002363|隆基机械
sz002309|中利科技
sh600843|上工申贝
sz002200|云投生态
sz002127|新民科技
sz002246|北化股份
sz002168|深圳惠程
sh600883|博闻科技
sh601965|中国汽研
sz002758|华通医药
sz000652|泰达股份
sh600500|中化国际
sz002722|金轮股份
sh603006|联明股份
sh603066|音飞储存
sh600967|北方创业
sz002306|*ST云网
sz300224|正海磁材
sz002600|江粉磁材
sz000404|华意压缩
sz000521|美菱电器
sh603869|北部湾旅
sz002733|雄韬股份
sz002627|宜昌交运
sh600509|天富能源
sh601890|亚星锚链
sz300247|桑乐金
sz000632|三木集团
sz300162|雷曼光电
sh600278|东方创业
sh603188|亚邦股份
sz002315|焦点科技
sh600560|金自天正
sz002129|中环股份
sh600493|凤竹纺织
sz000505|珠江控股
sh600279|重庆港九
sz002631|德尔家居
sh600854|春兰股份
sz002575|群兴玩具
sz002640|跨境通
sh600009|上海机场
sh600030|中信证券
sz000732|泰禾集团
sz300124|汇川技术
sz300121|阳谷华泰
sh600467|好当家
sz300102|乾照光电
sh600882|华联矿业
sz000601|韶能股份
sz000736|中房地产
sh600732|*ST新梅
sz300061|康耐特
sz000971|蓝鼎控股
sh600590|泰豪科技
sz002639|雪人股份
sz002481|双塔食品
sh600377|宁沪高速
sz300427|红相电力
sh603100|川仪股份
sz002035|华帝股份
sz300055|万邦达
sh601515|东风股份
sz300213|佳讯飞鸿
sz000978|桂林旅游
sh600980|北矿磁材
sz002339|积成电子
sz300050|世纪鼎利
sz002646|青青稞酒
sz002024|苏宁云商
sh603009|北特科技
sz300127|银河磁体
sz300146|汤臣倍健
sh600684|珠江实业
sh603669|灵康药业
sz002029|七匹狼
sz000096|广聚能源
sz300341|麦迪电气
sz002095|生意宝
sz002123|荣信股份
sh600470|六国化工
sz002038|双鹭药业
sz000419|通程控股
sz000417|合肥百货
sz002395|双象股份
sh600595|中孚实业
sz300206|理邦仪器
sh600510|黑牡丹
sz002674|兴业科技
sz002322|理工监测
sz300421|力星股份
sz002349|精华制药
sz300344|太空板业
sz300062|中能电气
sz000045|深纺织Ａ
sh600436|片仔癀
sh600385|山东金泰
sz300063|天龙集团
sz002655|共达电声
sz002015|*ST霞客
sh600721|百花村
sh600201|金宇集团
sh603601|再升科技
sh601231|环旭电子
sh603222|济民制药
sz002194|武汉凡谷
sz300249|依米康
sh600086|东方金钰
sz000801|四川九洲
sh600035|楚天高速
sh600807|天业股份
sh601377|兴业证券
sh601872|招商轮船
sz000838|国兴地产
sz000902|新洋丰
sz002501|利源精制
sh600179|黑化股份
sz002444|巨星科技
sz300476|胜宏科技
sz300452|山河药辅
sh600751|天海投资
sz300355|蒙草抗旱
sh600163|*ST南纸
sh601588|北辰实业
sh601328|交通银行
sz002520|日发精机
sz300261|雅本化学
sz000572|海马汽车
sh600004|白云机场
sz000158|常山股份
sh600235|民丰特纸
sz300335|迪森股份
sz002472|双环传动
sz002105|信隆实业
sz300270|中威电子
sz000863|三湘股份
sz002251|步步高
sz300374|恒通科技
sz300298|三诺生物
sz002455|百川股份
sh600051|宁波联合
sz300403|地尔汉宇
sz002208|合肥城建
sz300362|天保重装
sz002162|斯米克
sz002542|中化岩土
sh601333|广深铁路
sh600063|皖维高新
sz000890|法尔胜
sh600712|南宁百货
sz002513|蓝丰生化
sz000501|鄂武商Ａ
sz300483|沃施股份
sz002770|科迪乳业
sh600984|*ST建机
sz000677|*ST海龙
sz300408|三环集团
sh600523|贵航股份
sz300081|恒信移动
sz000014|沙河股份
sz002147|方圆支承
sz002225|濮耐股份
sz000504|南华生物
sz002191|劲嘉股份
sh603898|好莱客
sz300070|碧水源
sz300237|美晨科技
sh603901|永创智能
sz000949|新乡化纤
sh603968|醋化股份
sh600280|中央商场
sz002768|国恩股份
sz300461|田中精机
sz300067|安诺其
sz000726|鲁泰Ａ
sz300449|汉邦高科
sz000737|南风化工
sz000063|中兴通讯
sz002267|陕天然气
sh600208|新湖中宝
sz300214|日科化学
sz300053|欧比特
sz000985|大庆华科
sz002762|金发拉比
sh600480|凌云股份
sh601880|大连港
sh600166|福田汽车
sz000892|*ST星美
sz000428|华天酒店
sh600219|南山铝业
sz000833|贵糖股份
sh600069|*ST银鸽
sz002347|泰尔重工
sz300284|苏交科
sz000999|华润三九
sh601688|华泰证券
sh600172|黄河旋风
sh601216|内蒙君正
sh600100|同方股份
sh600289|亿阳信通
sz002230|科大讯飞
sz300443|金雷风电
sz002351|漫步者
sh603355|莱克电气
sh600246|万通地产
sz000721|西安饮食
sz002218|拓日新能
sh600152|维科精华
sz002277|友阿股份
sh600293|三峡新材
sz000987|广州友谊
