name|code|mess_score_yesterday|mess_score_today|mess_score_change|mess_score_max_40d|mess_score_min_40d
<a target="_blank" href="/Chart.php?code=sh600704"><span class="fore-stock-name">物产中大</span><span class="fore-stock-spell displaynone">600704WCZD</span></a>|<span class="fore-stock-code">sh600704</span>|6.5|7.4|0.9|7.4|5.8
<a target="_blank" href="/Chart.php?code=sh600705"><span class="fore-stock-name">中航资本</span><span class="fore-stock-spell displaynone">600705ZHZB</span></a>|<span class="fore-stock-code">sh600705</span>|5.6|5.8|0.2|6.4|4.6
<a target="_blank" href="/Chart.php?code=sh600711"><span class="fore-stock-name">盛屯矿业</span><span class="fore-stock-spell displaynone">600711STKY</span></a>|<span class="fore-stock-code">sh600711</span>|5.6|5.9|0.3|6.9|4
<a target="_blank" href="/Chart.php?code=sh600714"><span class="fore-stock-name">金瑞矿业</span><span class="fore-stock-spell displaynone">600714JRKY</span></a>|<span class="fore-stock-code">sh600714</span>|5.8|6.1|0.3|6.1|4.9
<a target="_blank" href="/Chart.php?code=sh600717"><span class="fore-stock-name">天津港</span><span class="fore-stock-spell displaynone">600717TJG</span></a>|<span class="fore-stock-code">sh600717</span>|5.7|5.8|0.1|6.5|5.5
<a target="_blank" href="/Chart.php?code=sh600721"><span class="fore-stock-name">百花村</span><span class="fore-stock-spell displaynone">600721BHC</span></a>|<span class="fore-stock-code">sh600721</span>|5.7|5.9|0.2|5.9|4.1
<a target="_blank" href="/Chart.php?code=sh600725"><span class="fore-stock-name">云维股份</span><span class="fore-stock-spell displaynone">600725YWGF</span></a>|<span class="fore-stock-code">sh600725</span>|4.5|4.9|0.4|5.2|1.5
<a target="_blank" href="/Chart.php?code=sh600727"><span class="fore-stock-name">鲁北化工</span><span class="fore-stock-spell displaynone">600727LBHG</span></a>|<span class="fore-stock-code">sh600727</span>|6|6.3|0.3|9.9|5.5
<a target="_blank" href="/Chart.php?code=sh600730"><span class="fore-stock-name">中国高科</span><span class="fore-stock-spell displaynone">600730ZGGK</span></a>|<span class="fore-stock-code">sh600730</span>|6.2|6.6|0.4|6.6|4
<a target="_blank" href="/Chart.php?code=sh600742"><span class="fore-stock-name">一汽富维</span><span class="fore-stock-spell displaynone">600742YQFW</span></a>|<span class="fore-stock-code">sh600742</span>|5.6|5.9|0.3|6.7|5.5
<a target="_blank" href="/Chart.php?code=sh600746"><span class="fore-stock-name">江苏索普</span><span class="fore-stock-spell displaynone">600746JSSP</span></a>|<span class="fore-stock-code">sh600746</span>|5.9|6.2|0.3|6.6|4
<a target="_blank" href="/Chart.php?code=sh600750"><span class="fore-stock-name">江中药业</span><span class="fore-stock-spell displaynone">600750JZYY</span></a>|<span class="fore-stock-code">sh600750</span>|5.9|6.3|0.4|9.4|5.5
<a target="_blank" href="/Chart.php?code=sh600764"><span class="fore-stock-name">中电广通</span><span class="fore-stock-spell displaynone">600764ZDGT</span></a>|<span class="fore-stock-code">sh600764</span>|5.6|5.8|0.2|5.8|5.1
<a target="_blank" href="/Chart.php?code=sh600770"><span class="fore-stock-name">综艺股份</span><span class="fore-stock-spell displaynone">600770ZYGF</span></a>|<span class="fore-stock-code">sh600770</span>|5.7|5.8|0.1|5.8|4
<a target="_blank" href="/Chart.php?code=sh600794"><span class="fore-stock-name">保税科技</span><span class="fore-stock-spell displaynone">600794BSKJ</span></a>|<span class="fore-stock-code">sh600794</span>|4.7|5.1|0.4|5.5|2.7
<a target="_blank" href="/Chart.php?code=sh600797"><span class="fore-stock-name">浙大网新</span><span class="fore-stock-spell displaynone">600797ZDWX</span></a>|<span class="fore-stock-code">sh600797</span>|5.7|6|0.3|6|4.2
<a target="_blank" href="/Chart.php?code=sh600805"><span class="fore-stock-name">悦达投资</span><span class="fore-stock-spell displaynone">600805YDTZ</span></a>|<span class="fore-stock-code">sh600805</span>|5.7|5.8|0.1|5.8|4.1
<a target="_blank" href="/Chart.php?code=sh600809"><span class="fore-stock-name">山西汾酒</span><span class="fore-stock-spell displaynone">600809SXFJ</span></a>|<span class="fore-stock-code">sh600809</span>|6|6.3|0.3|7.3|5.6
<a target="_blank" href="/Chart.php?code=sh600810"><span class="fore-stock-name">神马股份</span><span class="fore-stock-spell displaynone">600810SMGF</span></a>|<span class="fore-stock-code">sh600810</span>|5.8|5.9|0.1|5.9|3.3
<a target="_blank" href="/Chart.php?code=sh600812"><span class="fore-stock-name">华北制药</span><span class="fore-stock-spell displaynone">600812HBZY</span></a>|<span class="fore-stock-code">sh600812</span>|6|6.3|0.3|6.7|5.6
<a target="_blank" href="/Chart.php?code=sh600815"><span class="fore-stock-name">厦工股份</span><span class="fore-stock-spell displaynone">600815XGGF</span></a>|<span class="fore-stock-code">sh600815</span>|4|4.1|0.1|5.3|3.3
<a target="_blank" href="/Chart.php?code=sh600819"><span class="fore-stock-name">耀皮玻璃</span><span class="fore-stock-spell displaynone">600819YPBL</span></a>|<span class="fore-stock-code">sh600819</span>|6|6.4|0.4|6.4|3.3
<a target="_blank" href="/Chart.php?code=sh600826"><span class="fore-stock-name">兰生股份</span><span class="fore-stock-spell displaynone">600826LSGF</span></a>|<span class="fore-stock-code">sh600826</span>|6.6|6.9|0.3|7.1|5.5
<a target="_blank" href="/Chart.php?code=sh600851"><span class="fore-stock-name">海欣股份</span><span class="fore-stock-spell displaynone">600851HXGF</span></a>|<span class="fore-stock-code">sh600851</span>|5.6|5.8|0.2|7|3.3
<a target="_blank" href="/Chart.php?code=sh600853"><span class="fore-stock-name">龙建股份</span><span class="fore-stock-spell displaynone">600853LJGF</span></a>|<span class="fore-stock-code">sh600853</span>|5.5|5.6|0.1|6.7|5.5
<a target="_blank" href="/Chart.php?code=sh600857"><span class="fore-stock-name">宁波中百</span><span class="fore-stock-spell displaynone">600857NBZB</span></a>|<span class="fore-stock-code">sh600857</span>|6|6.3|0.3|6.8|5.5
<a target="_blank" href="/Chart.php?code=sh600862"><span class="fore-stock-name">南通科技</span><span class="fore-stock-spell displaynone">600862NTKJ</span></a>|<span class="fore-stock-code">sh600862</span>|5.8|5.9|0.1|6.9|5.5
<a target="_blank" href="/Chart.php?code=sh600873"><span class="fore-stock-name">梅花生物</span><span class="fore-stock-spell displaynone">600873MHSW</span></a>|<span class="fore-stock-code">sh600873</span>|5.6|5.8|0.2|6.1|5.5
<a target="_blank" href="/Chart.php?code=sh600874"><span class="fore-stock-name">创业环保</span><span class="fore-stock-spell displaynone">600874CYHB</span></a>|<span class="fore-stock-code">sh600874</span>|6.7|7.1|0.4|7.3|5.5
<a target="_blank" href="/Chart.php?code=sh600881"><span class="fore-stock-name">亚泰集团</span><span class="fore-stock-spell displaynone">600881YTJT</span></a>|<span class="fore-stock-code">sh600881</span>|5.8|5.9|0.1|5.9|4.8
<a target="_blank" href="/Chart.php?code=sh600884"><span class="fore-stock-name">杉杉股份</span><span class="fore-stock-spell displaynone">600884SSGF</span></a>|<span class="fore-stock-code">sh600884</span>|4.8|5.4|0.6|7|4.8
<a target="_blank" href="/Chart.php?code=sh600890"><span class="fore-stock-name">中房股份</span><span class="fore-stock-spell displaynone">600890ZFGF</span></a>|<span class="fore-stock-code">sh600890</span>|4.3|4.5|0.2|6.4|4.3
<a target="_blank" href="/Chart.php?code=sh600992"><span class="fore-stock-name">贵绳股份</span><span class="fore-stock-spell displaynone">600992GSGF</span></a>|<span class="fore-stock-code">sh600992</span>|5.8|5.9|0.1|6.6|5
<a target="_blank" href="/Chart.php?code=sh600998"><span class="fore-stock-name">九州通</span><span class="fore-stock-spell displaynone">600998JZT</span></a>|<span class="fore-stock-code">sh600998</span>|5.5|5.6|0.1|6.1|5.5
